0.75153920.12   0.03367020.12   0.06442620.12   -0.21461720.12
0.75085220.12   0.03421020.12   0.06494720.12   -0.21621320.12
0.75309320.12   0.03420620.12   0.06455820.12   -0.21499420.12
0.75824220.12   0.03367420.12   0.06327620.12   -0.21098220.12
0.76621320.12   0.03263920.12   0.06113420.12   -0.20425920.12
0.77682420.12   0.03114520.12   0.05819520.12   -0.19500120.12
0.78975320.12   0.02925320.12   0.05456020.12   -0.18351120.12
0.80451620.12   0.02705220.12   0.05037620.12   -0.17024620.12
0.82048120.12   0.02465120.12   0.04583520.12   -0.15580720.12
0.83692320.12   0.02216920.12   0.04115620.12   -0.14087520.12
0.85313020.12   0.01972220.12   0.03655020.12   -0.12612420.12
0.86850620.12   0.01740520.12   0.03219420.12   -0.11212020.12
0.88263420.12   0.01528320.12   0.02821120.12   -0.09925720.12
0.89529920.12   0.01339120.12   0.02466420.12   -0.08774220.12
0.90645720.12   0.01173320.12   0.02156320.12   -0.07761920.12
0.91618020.12   0.01030020.12   0.01888520.12   -0.06882420.12
0.92460520.12   0.00906720.12   0.01658920.12   -0.06122920.12
0.93189520.12   0.00801120.12   0.01462420.12   -0.05468320.12
0.93821020.12   0.00710420.12   0.01294220.12   -0.04903720.12
0.94369720.12   0.00632520.12   0.01149920.12   -0.04415520.12
0.94848420.12   0.00565320.12   0.01025820.12   -0.03991820.12
0.95267820.12   0.00507120.12   0.00918420.12   -0.03622420.12
0.95637120.12   0.00456420.12   0.00825320.12   -0.03299120.12
0.95963720.12   0.00412220.12   0.00744120.12   -0.03014820.12
0.96253820.12   0.00373420.12   0.00673120.12   -0.02763820.12
0.96512720.12   0.00339320.12   0.00610720.12   -0.02541220.12
0.96744620.12   0.00309220.12   0.00555620.12   -0.02343020.12
0.96953120.12   0.00282420.12   0.00506920.12   -0.02165920.12
0.97141420.12   0.00258620.12   0.00463620.12   -0.02007220.12
0.97311920.12   0.00237420.12   0.00425020.12   -0.01864320.12
0.97466920.12   0.00218420.12   0.00390620.12   -0.01735420.12
0.97608220.12   0.00201320.12   0.00359620.12   -0.01618720.12
0.97737420.12   0.00185920.12   0.00331820.12   -0.01512820.12
0.97855920.12   0.00172120.12   0.00306820.12   -0.01416320.12
0.97964820.12   0.00159520.12   0.00284120.12   -0.01328320.12
0.98065120.12   0.00148120.12   0.00263620.12   -0.01247820.12
0.98157820.12   0.00137820.12   0.00244920.12   -0.01174020.12
0.98243620.12   0.00128320.12   0.00228020.12   -0.01106120.12
0.98323220.12   0.00119720.12   0.00212520.12   -0.01043720.12
0.98397220.12   0.00111820.12   0.00198420.12   -0.00986020.12
0.98466220.12   0.00104620.12   0.00185420.12   -0.00932820.12
0.98530520.12   0.00098020.12   0.00173620.12   -0.00883420.12
0.98590620.12   0.00091920.12   0.00162720.12   -0.00837720.12
0.98646920.12   0.00086320.12   0.00152620.12   -0.00795220.12
0.98699720.12   0.00081120.12   0.00143420.12   -0.00755620.12
0.98749320.12   0.00076320.12   0.00134820.12   -0.00718820.12
0.98795920.12   0.00071920.12   0.00126920.12   -0.00684320.12
0.98839820.12   0.00067820.12   0.00119620.12   -0.00652220.12
0.98881320.12   0.00063920.12   0.00112820.12   -0.00622120.12
0.98920420.12   0.00060420.12   0.00106620.12   -0.00593920.12
0.98957420.12   0.00057120.12   0.00100720.12   -0.00567520.12
0.98992420.12   0.00054120.12   0.00095320.12   -0.00542620.12
0.99025520.12   0.00051220.12   0.00090220.12   -0.00519320.12
0.99057020.12   0.00048520.12   0.00085520.12   -0.00497320.12
0.99086920.12   0.00046020.12   0.00081020.12   -0.00476620.12
0.99115320.12   0.00043720.12   0.00076920.12   -0.00457020.12
0.99142320.12   0.00041520.12   0.00073120.12   -0.00438620.12
0.99168020.12   0.00039520.12   0.00069420.12   -0.00421220.12
0.99192620.12   0.00037620.12   0.00066020.12   -0.00404720.12
0.99216020.12   0.00035820.12   0.00062920.12   -0.00389120.12
0.99238320.12   0.00034120.12   0.00059920.12   -0.00374320.12
0.99259720.12   0.00032520.12   0.00057120.12   -0.00360220.12
0.99280120.12   0.00031020.12   0.00054420.12   -0.00346920.12
0.99299620.12   0.00029620.12   0.00051920.12   -0.00334320.12
0.99318320.12   0.00028320.12   0.00049620.12   -0.00322320.12
0.99336320.12   0.00027020.12   0.00047420.12   -0.00310820.12
0.99353520.12   0.00025820.12   0.00045320.12   -0.00300020.12
0.99370020.12   0.00024720.12   0.00043320.12   -0.00289620.12
